Q,A
"이것은 (하나의) 파이이다.  이것은(하나의) 사과이다. 
This is  a pie.   It is  an  apple.

supermarket , a,an, hair, egg","a,an"
"그것에 관하여 말해줘
Tell me all  _______  it.

about, pass, farm, chicken",about
"나비가 마당을 가로질러 펄럭인다.
A butterfly flutters  _______ the yard.

month, across, telephone, march",across
"너는 즉시 행동해야만한다. 
You must be prompt to _______.

danger, act, store, airport",act
"나의 새로운 이메일 주소에 유의하세요,
Please note my new e-mail _______ .

study, door, address, only",address
"나는 너무 두렵다. 
(I'm) _______ so.

afraid, ship, present, visit",afraid
"점심식사 후에 그는 서재로 물러갔다. 
After lunch, he retired to his study.

live, keep, supper, after",after
"화창한 일요일 오후예요. 
It is a nice Sunday _______.

fork, people, afternoon, bag",afternoon
"그는 또 술에 취했다. 
He is lost in the sauce _______.

kind, age, bad, again",again
"그녀는 아주 나이 어린 소녀다. 
She is a girl of tender _______.

age, number, box, excuse",age
"난 한 시간 전에 벌써 옷 다 입었다구. 
I was dressed an hour _______.

orange, rocket, ago, buy",ago
"나는 더러운 공기는 정말 싫어. 
I really hate the dirty _______.

leaf, lot, hate, air",air
"소년이 공항에 있다. 
The boy is at the _______.

airport, drive, old, shoes",airport
"god의 새 음반이 나왔어. 
The new _______ from god just came out.

blow, fine, album, how",album
"누가 우리 모두 중에서 가장 예쁘니? 
Who is the prettiest of us _______?

supermarket , all, great, neck",all
"그는 도로변을 따라 걸었다. 
He walked _______ the side of a way.

air, thank, violin, along",along
"그는 항상 서두른다. 
He is _______ in a hurry.

always, bag, sock, holiday",always
"차가 나무 사이에 있다. 
The car is _______ the trees.

interest, among, start, kid",among
"잠옷을 입고 자라. 
Put on your nightgown _______ go to bed.

earth, subway, peace, and",and
"그녀는 상당히 화가 났다. 
She was _______ more than a little.

angry, child, once, like",angry
"개는 충직한 동물이다 
A dog is a faithful _______.

remember , will, guitar, animal",animal
"적당히 대답을 해 주십시오 
Answer him as you think fit.

answer, dial, about, only",answer
"이것이 어떤 위험도 초래하지 않길 바란다
I hope that it doesn't invite _______ danger.

week, pull, any, lion",any
"우리 아파트는 3층에 있어.
My _______ is on the third floor.

roll, pencil, apartment, picnic",apartment
"여자가 사과를 먹고 있다
The woman is eating an _______.

hear, ask, up, apple",apple
"팔이 부러졌어. 
I have broken my _______.

arm, afraid, problem, a,an",arm
"지구는 태양의 주위를 회전한다
The earth moves _______ the sun.

middle, around, base, tooth",around
