,Q,A
0,"그것에 관하여 말해줘
Tell me all  _______  it.

about, pass, farm, chicken",about
1,"나비가 마당을 가로질러 펄럭인다.
A butterfly flutters  _______ the yard.

month, across, telephone, march",across
2,"너는 즉시 행동해야만한다. 
You must be prompt to _______.

danger, act, store, airport",act
3,"나의 새로운 이메일 주소에 유의하세요,
Please note my new e-mail _______ .

study, door, address, only",address
4,"나는 너무 두렵다. 
(I'm) _______ so.

afraid, ship, present, visit",afraid
5,"화창한 일요일 오후예요. 
It is a nice Sunday _______.

fork, people, afternoon, bag",afternoon
6,"그는 또 술에 취했다. 
He is lost in the sauce _______.

kind, age, bad, again",again
7,"그녀는 아주 나이 어린 소녀다. 
She is a girl of tender _______.

age, number, box, excuse",age
8,"난 한 시간 전에 벌써 옷 다 입었다구. 
I was dressed an hour _______.

orange, rocket, ago, buy",ago
9,"나는 더러운 공기는 정말 싫어. 
I really hate the dirty _______.

leaf, lot, hate, air",air
10,"소년이 공항에 있다. 
The boy is at the _______.

airport, drive, old, shoes",airport
11,"god의 새 음반이 나왔어. 
The new _______ from god just came out.

blow, fine, album, how",album
12,"누가 우리 모두 중에서 가장 예쁘니? 
Who is the prettiest of us _______?

supermarket , all, great, neck",all
13,"그는 도로변을 따라 걸었다. 
He walked _______ the side of a way.

air, thank, violin, along",along
14,"그는 항상 서두른다. 
He is _______ in a hurry.

always, bag, sock, holiday",always
15,"차가 나무 사이에 있다. 
The car is _______ the trees.

interest, among, start, kid",among
16,"잠옷을 입고 자라. 
Put on your nightgown _______ go to bed.

earth, subway, peace, and",and
17,"그녀는 상당히 화가 났다. 
She was _______ more than a little.

angry, child, once, like",angry
18,"개는 충직한 동물이다 
A dog is a faithful _______.

remember , will, guitar, animal",animal
19,"이것이 어떤 위험도 초래하지 않길 바란다
I hope that it doesn't invite _______ danger.

week, pull, any, lion",any
20,"우리 아파트는 3층에 있어.
My _______ is on the third floor.

roll, pencil, apartment, picnic",apartment
21,"여자가 사과를 먹고 있다
The woman is eating an _______.

hear, ask, up, apple",apple
22,"팔이 부러졌어. 
I have broken my _______.

arm, afraid, problem, a,an",arm
23,"지구는 태양의 주위를 회전한다
The earth moves _______ the sun.

middle, around, base, tooth",around
24,"다음 버스가 언제 오죠?
When does the next bus _______?

arrive, stop, brown, god",arrive
25,"그들은 모두 광대같이 옷을 입고 있었다.
They were all dressed _______ clowns.

great, time, excellent, as",as
26,"“너 어디 가니?” 그녀가 물었다.
Where are you going?' she _______ed.

ask, down, computer, glad",ask
27,"배는 부두에 정박해 있다. 
The ship is docking _______ the wharf.

subway, glove, wash, at",at
28,"나의 숙모는 아주 친절한 분이다. 
My _______ is a very nice lady.

show, sorry, aunt, shower",aunt
29,"가을에는 바람이 많이 불어요. 
It is windy in the _______.

out, sad, problem, autumn",autumn
30,"그녀는 해변에서 멀리 떨어진 곳으로 헤엄쳐갔다. 
She swam far _______ from the beach.

fast, remember , grape, away",away
31,"그들에게 사내 아이가 태어났다 
A boy _______ was born to them.

guitar, small, baby, orange",baby
32,"등 뒤 단추 좀 채워 줘. 
Do my buttons up in _______.

strong, desk, you, back",back
33,"그리 나쁜 건 아니네
That's not too _______.

near, then, trip, bad",bad
34,"책상에 네 가방 내려놓아. 
Put your _______ down on the desk.

breakfast , dance, hope, bag",bag
35,"공이 바구니 옆에 있다. 
The _______ is next to the basket.

record, mom, listen, ball",ball
36,"소녀가 풍선을 들고 있다. 
The girl is holding a _______.

together, ink, know, balloon",balloon
37,"바나나 숲으로 가자! 
Let's go to the _______ woods.

banana, dolphin, bench, red",banana
38,"나도 밴드에 가입하고 싶다 
I want to join the _______, too.

cold, band, music, dish",band
39,"이 근처에 은행이 있나요? 
Is there a _______ near here?

now, table, bank, ice",bank
40,"그 조각상의 토대는 시멘트이다
The _______ of the statue is cement.

bottle, travel, good, base",base
41,"사과들이 바구니 안에 있다. 
The apples are in a _______.

basket, woman, drive, finger",basket
42,"소녀가 목욕을 하고 있다. 
The girl is taking a _______.

put, bath, ring, stone",bath
43,"지각하고 싶지 않아요. 
I don't want to _______ late.

be, war, vacation, coffee",be
44,"사람들이 해변에 있다. 
The people are at the _______.

o'clock, beach, beside, exercise",beach
45,"그는 곰 인형을 찾을 수가 없어요. 
He can't find his teddy _______.

bear, war, capital, okay",bear
46,"음악이 아름다워요. 
The music is _______.

picture, bicycle, usual, beautiful",beautiful
47,"너는 언제 기독교인이 되었니? 
When did you _______ a Christian?

big, for, guitar, become",become
48,"램프는 침대 옆에 놓여져 있다. 
The lamp is next to the _______.

what, autumn, bed, have",bed
